"Rank","WSIT","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"29","","Brandin Cooks","LAR","WR12","12","30","32","31.0","1.0","46.0","+17.0"
"30","","Kerryon Johnson","DET","RB16","6","25","39","32.0","7.0","62.0","+32.0"
"31","","Alshon Jeffery","PHI","WR13","9","28","36","32.0","4.0","73.0","+42.0"
"32","","JuJu Smith-Schuster","PIT","WR14","7","25","40","32.5","7.5","41.0","+9.0"
"33","","Robert Woods","LAR","WR15","12","30","35","32.5","2.5","86.0","+53.0"
"34","","Stefon Diggs","MIN","WR16","10","29","38","33.5","4.5","29.0","-5.0"
"35","","Adrian Peterson","WAS","RB17","4","33","34","33.5","0.5","102.0","+67.0"
"36","","Aaron Rodgers","GB","QB1","7","31","37","34.0","3.0","24.0","-12.0"
"37","","Patrick Mahomes","KC","QB2","12","34","36","35.0","1.0","110.0","+73.0"
"38","","Le'Veon Bell","PIT","RB18","7","26","47","36.5","10.5","2.0","-36.0"
"39","","T.Y. Hilton","IND","WR17","9","31","44","37.5","6.5","30.0","-9.0"
"40","","Nick Chubb","CLE","RB19","11","32","47","39.5","7.5","112.0","+72.0"
"41","","Tevin Coleman","ATL","RB20","8","26","54","40.0","14.0","63.0","+22.0"
"42","","Rob Gronkowski","NE","TE3","11","39","42","40.5","1.5","21.0","-21.0"
"43","","Josh Gordon","NE","WR18","11","41","46","43.5","2.5","50.0","+7.0"
"44","","Tarik Cohen","CHI","RB21","5","42","45","43.5","1.5","90.0","+46.0"
"45","","Kenny Golladay","DET","WR19","6","41","48","44.5","3.5","143.0","+98.0"
"46","","Emmanuel Sanders","DEN","WR20","10","48","49","48.5","0.5","75.0","+29.0"
"47","","Jordan Howard","CHI","RB22","5","40","58","49.0","9.0","20.0","-27.0"
"48","","LeSean McCoy","BUF","RB23","11","38","62","50.0","12.0","26.0","-22.0"
"49","","Jarvis Landry","CLE","WR21","11","43","60","51.5","8.5","43.0","-6.0"
"50","","Alex Collins","BAL","RB24","10","54","56","55.0","1.0","31.0","-19.0"
"51","","John Brown","BAL","WR22","10","51","61","56.0","5.0","158.0","+107.0"
"52","","Matt Ryan","ATL","QB3","8","53","59","56.0","3.0","100.0","+48.0"
"53","","Cooper Kupp","LAR","WR23","12","50","63","56.5","6.5","87.0","+34.0"
"54","","Phillip Lindsay","DEN","RB25","10","52","62","57.0","5.0","374.0","+320.0"
"55","","Aaron Jones","GB","RB26","7","45","70","57.5","12.5","111.0","+56.0"
"56","","Doug Baldwin","SEA","WR24","7","43","74","58.5","15.5","38.0","-18.0"
"57","","Dalvin Cook","MIN","RB27","10","52","68","60.0","8.0","13.0","-44.0"
"58","","Allen Robinson","CHI","WR25","5","46","75","60.5","14.5","52.0","-6.0"
"59","","Julian Edelman","NE","WR26","11","49","76","62.5","13.5","71.0","+12.0"
"60","","Tyler Boyd","CIN","WR27","9","51","74","62.5","11.5","360.0","+300.0"
"61","","Marvin Jones","DET","WR28","6","60","65","62.5","2.5","53.0","-8.0"
"62","","Chris Carson","SEA","RB28","7","56","71","63.5","7.5","82.0","+20.0"
"63","","Golden Tate","PHI","WR29","9","61","66","63.5","2.5","54.0","-9.0"
"64","","Matt Breida","SF","RB29","11","58","70","64.0","6.0","125.0","+61.0"
"65","","Andrew Luck","IND","QB4","9","57","72","64.5","7.5","83.0","+18.0"
"66","","Sammy Watkins","KC","WR30","12","63","66","64.5","1.5","80.0","+14.0"
"67","","George Kittle","SF","TE4","11","64","69","66.5","2.5","129.0","+62.0"
"68","","Tom Brady","NE","QB5","11","57","77","67.0","10.0","44.0","-24.0"
"69","","Cam Newton","CAR","QB6","4","67","67","67.0","0.0","56.0","-13.0"
"70","","Michael Crabtree","BAL","WR31","10","50","87","68.5","18.5","68.0","-2.0"
"71","","Kirk Cousins","MIN","QB7","10","59","84","71.5","12.5","78.0","+7.0"
"72","","Kenyan Drake","MIA","RB30","11","55","89","72.0","17.0","33.0","-39.0"
"73","","Jimmy Graham","GB","TE5","7","64","80","72.0","8.0","49.0","-24.0"
"74","","Dion Lewis","TEN","RB31","8","55","90","72.5","17.5","61.0","-13.0"
"75","","Chris Thompson","WAS","RB32","4","68","82","75.0","7.0","92.0","+17.0"
"76","","Trey Burton","CHI","TE6","5","69","81","75.0","6.0","81.0","+5.0"
"77","","Jared Goff","LAR","QB8","12","53","98","75.5","22.5","107.0","+30.0"
"78","","Amari Cooper","DAL","WR32","8","65","87","76.0","11.0","34.0","-44.0"
"79","","David Njoku","CLE","TE7","11","73","81","77.0","4.0","109.0","+30.0"
"80","","Corey Davis","TEN","WR33","8","75","79","77.0","2.0","65.0","-15.0"
"81","","Calvin Ridley","ATL","WR34","8","76","79","77.5","1.5","118.0","+37.0"
"82","","Deshaun Watson","HOU","QB9","10","72","84","78.0","6.0","36.0","-46.0"
"83","","Lamar Miller","HOU","RB33","10","71","86","78.5","7.5","45.0","-38.0"
"84","","Isaiah Crowell","NYJ","RB34","11","83","83","83.0","0.0","89.0","+5.0"
"85","","Geronimo Allison","GB","WR35","7","78","89","83.5","5.5","174.0","+89.0"
"86","","Jack Doyle","IND","TE8","9","73","104","88.5","15.5","116.0","+30.0"
"87","","O.J. Howard","TB","TE9","5","80","97","88.5","8.5","147.0","+60.0"
"88","","Devin Funchess","CAR","WR36","4","88","92","90.0","2.0","85.0","-3.0"
"89","","Demaryius Thomas","HOU","WR37","10","85","96","90.5","5.5","47.0","-42.0"
"90","","Austin Ekeler","LAC","RB35","8","82","102","92.0","10.0","164.0","+74.0"
"91","","Chris Godwin","TB","WR38","5","85","103","94.0","9.0","161.0","+70.0"
"92","","Drew Brees","NO","QB10","6","77","112","94.5","17.5","60.0","-32.0"
"93","","Sterling Shepard","NYG","WR39","9","88","101","94.5","6.5","108.0","+15.0"
"94","","Royce Freeman","DEN","RB36","10","86","106","96.0","10.0","40.0","-54.0"
"95","","Ben Roethlisberger","PIT","QB11","7","93","100","96.5","3.5","93.0","-2.0"
